Date,Views,Watch time (hours),Subscribers gained,Subscribers lost
2026-03-01,28,1.0667,0,0
2026-03-02,33,3.1333,0,0
2026-03-03,32,0.4,0,0
2026-03-04,19,0.3,0,0
2026-03-05,27,0.7667,0,0
2026-03-06,25,1.6667,0,0
2026-03-07,18,0.1833,0,0
2026-03-08,9,0.75,0,0
2026-03-09,20,0.65,0,0
2026-03-10,25,0.8,0,0
2026-03-11,16,0.0667,0,0
2026-03-12,31,0.6333,0,0
2026-03-13,29,0.8833,0,0
2026-03-14,23,0.9167,0,0
2026-03-15,15,0.1333,0,0
2026-03-16,32,0.8,0,0
2026-03-17,28,0.8,0,0
2026-03-18,26,0.85,0,0
2026-03-19,37,0.95,0,0
2026-03-20,14,0.1,1,0
2026-03-21,27,0.7333,0,0
2026-03-22,21,0.1167,0,0
2026-03-23,35,0.4833,0,0
2026-03-24,24,0.3333,1,0
2026-03-25,36,0.7167,0,0
2026-03-26,20,0.4167,0,0
2026-03-27,18,0.5667,0,0
2026-03-28,34,0.45,0,0
2026-03-29,19,0.4167,0,0
2026-03-30,31,0.4,0,0
2026-03-31,19,0.5333,0,0
2026-04-01,12,0.8,0,0
2026-04-02,19,0.8833,0,0
2026-04-03,30,0.65,0,0
2026-04-04,19,0.6167,0,0
2026-04-05,29,1.1,0,0
2026-04-06,21,1.05,0,0
2026-04-07,21,0.6167,0,0
2026-04-08,12,0.4333,0,0
2026-04-09,25,0.8167,1,0
2026-04-10,27,1.6,0,0
2026-04-11,10,0.2833,0,0
2026-04-12,24,0.15,0,0
2026-04-13,25,0.4667,0,0
2026-04-14,28,0.2167,0,0
2026-04-15,31,1.4667,0,0
2026-04-16,32,0.4333,0,0
2026-04-17,24,0.3167,0,0
2026-04-18,23,0.3167,0,0
2026-04-19,31,0.6667,0,0
2026-04-20,25,0.4333,0,0
2026-04-21,20,0.6667,0,0
2026-04-22,16,0.1167,0,0
2026-04-23,22,0.3833,0,0
2026-04-24,12,0.1,0,0
2026-04-25,23,0.2333,0,0
2026-04-26,23,0.2833,0,0
2026-04-27,20,0.2667,0,0
2026-04-28,22,0.6167,0,0
